id,created_at,updated_at,deleted_at,createdBy,updatedBy,deletedBy,app_id,table_id,path,description,api_group,method
1,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/jwt/jsonInBlacklist,jwt加入黑名单(退出，必选),jwt,POST
2,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/deleteUser,删除用户,系统用户,DELETE
3,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/admin_register,用户注册,系统用户,POST
4,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/getUserList,获取用户列表,系统用户,POST
5,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/setUserInfo,设置用户信息,系统用户,PUT
6,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/setSelfInfo,设置自身信息(必选),系统用户,PUT
7,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/getUserInfo,获取自身信息(必选),系统用户,GET
8,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/setUserAuthorities,设置权限组,系统用户,POST
9,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/changePassword,修改密码（建议选择),系统用户,POST
10,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/setUserAuthority,修改用户角色(必选),系统用户,POST
11,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/user/resetPassword,重置用户密码,系统用户,POST
12,2023-05-24 01:11:41.339,2024-01-08 20:34:00.553,0000-00-00 00:00:00.000,0,0,0,0,0,/api/createApi,创建api,api,POST
13,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/api/deleteApi,删除Api,api,POST
14,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/api/updateApi,更新Api,api,POST
15,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/api/getApiList,获取api列表,api,POST
16,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/api/getAllApis,获取所有api,api,POST
17,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/api/getApiById,获取api详细信息,api,POST
18,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/api/deleteApisByIds,批量删除api,api,DELETE
19,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRole/copyRole,拷贝角色,角色,POST
20,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRole/createRole,创建角色,角色,POST
21,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRole/deleteRole,删除角色,角色,POST
22,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRole/updateRole,更新角色信息,角色,PUT
23,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRole/getRoleList,获取角色列表,角色,POST
24,2023-05-24 01:11:41.339,2024-01-08 20:43:42.332,0000-00-00 00:00:00.000,0,0,0,0,0,/swaRole/setSubRoles,设置角色资源权限,角色,POST
25,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/casbin/updateCasbin,更改角色api权限,casbin,POST
26,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/casbin/getPolicyPathByAuthorityId,获取权限列表,casbin,POST
27,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/addBaseMenu,新增菜单,菜单,POST
28,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/getMenu,获取菜单树(必选),菜单,POST
29,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/deleteBaseMenu,删除菜单,菜单,POST
30,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/updateBaseMenu,更新菜单,菜单,POST
31,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/getBaseMenuById,根据id获取菜单,菜单,POST
32,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/getMenuList,分页获取基础menu列表,菜单,POST
33,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/getBaseMenuTree,获取用户动态路由,菜单,POST
34,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/getMenuAuthority,获取指定角色menu,菜单,POST
35,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/menu/addMenuAuthority,增加menu和角色关联关系,菜单,POST
36,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/fileUploadAndDownload/findFile,寻找目标文件（秒传）,分片上传,GET
37,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/fileUploadAndDownload/breakpointContinue,断点续传,分片上传,POST
38,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/fileUploadAndDownload/breakpointContinueFinish,断点续传完成,分片上传,POST
39,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/fileUploadAndDownload/removeChunk,上传完成移除文件,分片上传,POST
40,2023-05-24 01:11:41.339,2024-01-08 12:09:41.146,0000-00-00 00:00:00.000,0,0,0,0,0,/fileUpload/upload,文件上传示例,文件上传与下载,POST
41,2023-05-24 01:11:41.339,2024-01-08 12:09:50.633,0000-00-00 00:00:00.000,0,0,0,0,0,/fileUpload/deleteFile,删除文件,文件上传与下载,POST
42,2023-05-24 01:11:41.339,2024-01-08 12:09:57.238,0000-00-00 00:00:00.000,0,0,0,0,0,/fileUpload/editFileName,文件名或者备注编辑,文件上传与下载,POST
43,2023-05-24 01:11:41.339,2024-01-08 12:10:06.786,0000-00-00 00:00:00.000,0,0,0,0,0,/fileUpload/getFileList,获取上传文件列表,文件上传与下载,POST
44,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/system/getServerInfo,获取服务器信息,系统服务,POST
45,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/system/getSystemConfig,获取配置文件内容,系统服务,POST
46,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/system/setSystemConfig,设置配置文件内容,系统服务,POST
47,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/customer/customer,更新客户,客户,PUT
48,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/customer/customer,创建客户,客户,POST
49,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/customer/customer,删除客户,客户,DELETE
50,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/customer/customer,获取单一客户,客户,GET
51,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/customer/customerList,获取客户列表,客户,GET
66,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaDictail/updateSwaDicttail,更新字典内容,系统字典详情,PUT
67,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaDictail/createSwaDicttail,新增字典内容,系统字典详情,POST
68,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaDictail/deleteSwaDicttail,删除字典内容,系统字典详情,DELETE
69,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaDictail/findSwaDicttail,根据ID获取字典内容,系统字典详情,GET
70,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaDictail/getSwaDicttailList,获取字典内容列表,系统字典详情,GET
71,2023-05-24 01:11:41.339,2024-01-08 15:22:03.863,0000-00-00 00:00:00.000,0,0,0,0,0,/swaDict/createSwaDict,新增字典,系统字典,POST
72,2023-05-24 01:11:41.339,2024-01-08 15:22:18.800,0000-00-00 00:00:00.000,0,0,0,0,0,/swaDict/deleteSwaDict,删除字典,系统字典,DELETE
73,2023-05-24 01:11:41.339,2024-01-08 15:22:25.233,0000-00-00 00:00:00.000,0,0,0,0,0,/swaDict/updateSwaDict,更新字典,系统字典,PUT
74,2023-05-24 01:11:41.339,2024-01-08 15:22:33.739,0000-00-00 00:00:00.000,0,0,0,0,0,/swaDict/findSwaDict,根据ID获取字典,系统字典,GET
75,2023-05-24 01:11:41.339,2024-01-08 15:22:43.808,0000-00-00 00:00:00.000,0,0,0,0,0,/swaDict/getSwaDictList,获取字典列表,系统字典,GET
76,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRecord/createSwaRecord,新增操作记录,操作记录,POST
77,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRecord/findSwaRecord,根据ID获取操作记录,操作记录,GET
78,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRecord/getSwaRecordList,获取操作记录列表,操作记录,GET
79,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRecord/deleteSwaRecord,删除操作记录,操作记录,DELETE
80,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/swaRecord/deleteSwaRecordByIds,批量删除操作历史,操作记录,DELETE
81,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/simpleUploader/upload,插件版分片上传,断点续传(插件版),POST
82,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/simpleUploader/checkFileMd5,文件完整度验证,断点续传(插件版),GET
83,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/simpleUploader/mergeFileMd5,上传完成合并文件,断点续传(插件版),GET
86,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/authorityBtn/setAuthorityBtn,设置按钮权限,按钮权限,POST
87,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/authorityBtn/getAuthorityBtn,获取已有按钮权限,按钮权限,POST
88,2023-05-24 01:11:41.339,2023-05-24 01:11:41.339,,,,,,,/authorityBtn/canRemoveAuthorityBtn,删除按钮,按钮权限,POST
421,2024-01-08 01:17:11.082,2024-01-08 20:44:19.640,0000-00-00 00:00:00.000,0,0,0,0,0,/swaRole/setRoleMenus,设置角色的菜单,角色,POST
422,2024-01-08 23:24:26.386,2024-01-08 23:24:26.386,0000-00-00 00:00:00.000,0,0,0,0,0,/swaRole/getSubRoles,获取子角色,角色,POST
